year,cars,pop18plus
2018,608,1628
2019,589,1639
2020,563,1637
2010,628,1141
2011,603,1134
2012,641,1087
2013,634,1094
2014,634,1123
2015,654,1154
2016,689,1164
2017,673,1190
2018,668,1211
2019,665,1217
2020,646,1217
2010,313,911
2011,336,949
2012,314,984
2013,346,1005
2014,326,1041
2015,340,1007
2016,353,1022
2017,371,1041
2018,369,1031
2019,358,1007
2020,347,1001
